Date,Open,High,Low,Close,Volume
2025-01-02,1242.50,1258.30,1238.00,1251.75,4823100
2025-01-03,1251.75,1265.00,1245.20,1260.40,5102300
2025-01-06,1260.40,1278.90,1255.60,1272.15,6234500
2025-01-07,1272.15,1280.00,1260.00,1265.80,4987200
2025-01-08,1265.80,1275.50,1258.30,1270.90,5341800
2025-01-09,1270.90,1285.20,1268.00,1282.40,6012400
2025-01-10,1282.40,1290.00,1270.50,1275.30,4765900
2025-01-13,1275.30,1288.60,1269.80,1284.70,5298100
2025-01-14,1284.70,1295.00,1278.20,1291.50,5876300
2025-01-15,1291.50,1305.40,1288.00,1302.60,7123400
2025-01-16,1302.60,1310.00,1295.30,1298.40,5634200
2025-01-17,1298.40,1312.80,1294.60,1308.90,6245100
2025-01-20,1308.90,1325.00,1305.20,1320.50,7834600
2025-01-21,1320.50,1335.60,1315.80,1330.20,8123500
2025-01-22,1330.20,1342.00,1322.40,1338.70,7456300
2025-01-23,1338.70,1348.90,1330.00,1345.20,6987400
2025-01-24,1345.20,1358.00,1338.60,1352.80,7234100
2025-01-27,1352.80,1362.40,1344.20,1356.90,6543200
2025-01-28,1356.90,1370.00,1350.80,1365.40,7891300
2025-01-29,1365.40,1378.20,1358.60,1372.10,8234500
2025-01-30,1372.10,1380.00,1362.40,1368.50,7123600
2025-01-31,1368.50,1382.60,1364.20,1378.90,6987200
2025-02-03,1378.90,1395.00,1372.30,1390.40,8456100
2025-02-04,1390.40,1402.80,1384.60,1398.20,9123400
2025-02-05,1398.20,1410.00,1390.80,1405.70,8765300
2025-02-06,1405.70,1418.40,1398.20,1412.30,9234100
2025-02-07,1412.30,1425.60,1406.80,1420.90,10123400
2025-02-10,1420.90,1432.00,1412.40,1428.50,9456200
2025-02-11,1428.50,1440.80,1420.60,1436.20,9876500
2025-02-12,1436.20,1448.40,1428.80,1442.70,8934100
