Price,Close,High,Low,Open,Volume,Lag_1,Lag_5,Lag_21
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,
Date,,,,,,,,
2020-01-01,672.2161254882812,680.0087898882745,670.3904712564104,675.9566091562889,14004468,,,
2020-01-02,683.6602172851562,686.1761470483035,673.2848606187108,673.2848606187108,17710316,672.2161254882812,,
2020-01-03,684.4840698242188,686.4878962665452,678.1831277621862,682.6360622006584,20984698,683.6602172851562,,
2020-01-06,668.609375,680.3651059474896,667.0508300218751,676.8473220199032,24519177,684.4840698242188,,
2020-01-07,678.8956909179688,683.3040975466399,673.952886932682,676.4019951208164,16683622,668.609375,,
2020-01-08,673.7969970703125,683.2817317108661,672.3943304886236,674.6207976476823,16047902,678.8956909179688,672.2161254882812,
2020-01-09,689.3155517578125,690.2061149022059,681.8568773480174,685.1297860788776,14982742,673.7969970703125,683.6602172851562,
2020-01-10,689.15966796875,693.7461870259668,685.5972965193916,691.0521443605163,12478359,689.3155517578125,684.4840698242188,
2020-01-13,687.4007568359375,694.0801585291999,685.0407051379933,688.0019166618636,18282382,689.15966796875,668.609375,
2020-01-14,681.032958984375,690.2059955864581,677.6709945202575,685.7530617339828,15816535,687.4007568359375,678.8956909179688,
2020-01-15,678.5617065429688,685.7086841864183,676.068070171922,683.9052640096224,15817859,681.032958984375,673.7969970703125,
2020-01-16,684.8179931640625,687.244866778881,680.4095869331176,680.8549279318096,12847975,678.5617065429688,689.3155517578125,
2020-01-17,704.01025390625,705.7691458267952,691.6310696018056,691.764654072348,29463471,684.8179931640625,689.15966796875,
2020-01-20,682.3466186523438,716.4784286658733,679.6971043882497,716.4784286658733,32545850,704.01025390625,687.4007568359375,
2020-01-21,683.036865234375,688.3581283514012,677.73783646965,680.6768135829059,18922720,682.3466186523438,681.032958984375,
2020-01-22,682.7919311523438,688.7588822425179,681.7900179448524,687.534328261155,10322817,683.036865234375,678.5617065429688,
2020-01-23,679.8975830078125,686.621513138243,677.1590121473655,684.1946393801801,11247739,682.7919311523438,684.8179931640625,
2020-01-24,677.5374755859375,684.1278207028573,676.201571520967,679.9642896946181,14628445,679.8975830078125,704.01025390625,
2020-01-27,670.8580932617188,678.8288715307318,670.1678770715025,674.576343167049,13387750,677.5374755859375,682.3466186523438,
2020-01-28,655.3616943359375,672.3942157283439,651.732561214589,671.7707622261146,24532236,670.8580932617188,683.036865234375,
2020-01-29,658.96875,665.4477454950623,651.9330633649719,656.385997983268,24746565,655.3616943359375,682.7919311523438,
2020-01-30,642.8935546875,658.9018717010598,641.2237192109507,658.5901746274501,22402689,658.96875,679.8975830078125,672.2161254882812
2020-01-31,628.599609375,647.1238564671794,626.6180767993984,647.0125063572486,34750310,642.8935546875,677.5374755859375,683.6602172851562
2020-02-03,616.9552001953125,623.3897268292178,606.9583616221806,610.0086294911721,30712290,628.599609375,670.8580932617188,684.4840698242188
2020-02-04,635.1676635742188,637.8839401729988,622.4322559797637,623.4118752792756,25383901,616.9552001953125,655.3616943359375,668.609375
2020-02-05,645.0086059570312,646.9233758070424,636.9043045187749,638.9525993651572,18472100,635.1676635742188,658.96875,678.8956909179688
2020-02-06,649.14990234375,653.2466113131902,641.2682409254869,647.5023606854987,15538577,645.0086059570312,642.8935546875,673.7969970703125
2020-02-07,638.3961181640625,646.7231209827357,636.0137726868787,646.121961162775,12209212,649.14990234375,628.599609375,689.3155517578125
2020-02-10,639.2643432617188,643.6727488097293,628.0651870747986,635.8800851167206,15142476,638.3961181640625,616.9552001953125,689.15966796875
2020-02-11,646.9012451171875,652.8904307204514,643.4724582072458,644.5188995976021,13999816,639.2643432617188,635.1676635742188,687.4007568359375
2020-02-12,654.7161865234375,656.742306925112,647.9031998730488,648.4153034245885,13533565,646.9012451171875,645.0086059570312,681.032958984375
2020-02-13,656.4304809570312,658.0335539553153,651.2873305313852,658.0335539553153,13565659,654.7161865234375,649.14990234375,678.5617065429688
2020-02-14,662.419677734375,668.5869752575289,647.0569900773629,657.8108654922579,21227841,656.4304809570312,638.3961181640625,684.8179931640625
2020-02-17,658.2562255859375,670.6799378673376,656.4973336908605,663.0431510030807,13149130,662.419677734375,639.2643432617188,704.01025390625
2020-02-18,653.4247436523438,657.2097556655767,648.97180932506,657.2097556655767,11127161,658.2562255859375,646.9012451171875,682.3466186523438
2020-02-19,669.6334228515625,670.8134485862718,656.8534867255756,658.7459628812005,14084409,653.4247436523438,654.7161865234375,683.036865234375
2020-02-20,661.6849975585938,671.5037233050037,660.7276124968037,666.6055073331329,16892268,669.6334228515625,656.4304809570312,682.7919311523438
2020-02-24,643.4279174804688,657.699577615814,641.0233376549481,654.4711971958799,21370214,661.6849975585938,662.419677734375,679.8975830078125
2020-02-25,630.71484375,646.3001152119884,627.864922735704,646.3001152119884,27745062,643.4279174804688,658.2562255859375,677.5374755859375
2020-02-26,619.8495483398438,628.9112950285784,617.7789594939649,627.8648537048206,29362748,630.71484375,653.4247436523438,670.8580932617188
2020-02-27,617.2891845703125,620.6511494965837,609.6078101962304,618.0683975689975,25054993,619.8495483398438,669.6334228515625,655.3616943359375
2020-02-28,591.6401977539062,604.2643163833105,590.0148903377343,603.3291656588368,39315769,617.2891845703125,661.6849975585938,658.96875
2020-03-02,586.0740356445312,609.6077893226085,579.3723403742132,603.4181975497225,29500495,591.6401977539062,643.4279174804688,642.8935546875
2020-03-03,597.9633178710938,602.8838272617827,588.6789307113166,592.1077172942299,27398798,586.0740356445312,630.71484375,628.599609375
2020-03-04,596.5607299804688,602.8393785511545,582.400359715697,602.0378717145262,22105261,597.9633178710938,619.8495483398438,616.9552001953125
2020-03-05,583.8475341796875,604.6873035839145,581.5542452021383,602.126845697354,30510390,596.5607299804688,617.2891845703125,635.1676635742188
2020-03-06,565.9688720703125,573.6057169779667,552.6545991174132,565.5235905903087,33734039,583.8475341796875,591.6401977539062,645.0086059570312
2020-03-09,496.12457275390625,552.6101407818697,487.59719353402716,552.1870935973562,88187018,565.9688720703125,586.0740356445312,649.14990234375
2020-03-11,513.6690673828125,524.756872658128,493.3859029809728,493.3859029809728,59578576,496.12457275390625,597.9633178710938,638.3961181640625
2020-03-12,473.3477478027344,490.26892105164063,466.98004375854214,483.14423842846696,55970485,513.6690673828125,596.5607299804688,639.2643432617188
2020-03-13,492.1837158203125,507.6354013912499,419.64530200918597,444.40363928088584,73297403,473.3477478027344,583.8475341796875,646.9012451171875
2020-03-16,452.2853698730469,480.78419157795764,447.5207086747309,472.2568121164352,38482258,492.1837158203125,565.9688720703125,654.7161865234375
2020-03-17,448.8566589355469,472.01195581008176,446.71924783097666,466.33443712757946,45445979,452.2853698730469,496.12457275390625,656.4304809570312
2020-03-18,431.2674865722656,461.28032501489446,427.9277857781092,456.5601919681001,44730415,448.8566589355469,513.6690673828125,662.419677734375
2020-03-19,408.6465148925781,430.59951868687136,397.2915088300032,409.7152202964063,61404010,431.2674865722656,473.3477478027344,658.2562255859375
2020-03-20,453.2872314453125,460.83496091441367,414.12359413052815,418.3538872632153,63360475,408.6465148925781,492.1837158203125,653.4247436523438
2020-03-23,393.6623840332031,423.02953408613564,389.9219001729814,407.9785720617482,40670949,453.2872314453125,452.2853698730469,669.6334228515625
2020-03-24,420.090576171875,431.9353918898189,398.8945807634273,414.1236252972025,45734887,393.6623840332031,448.8566589355469,661.6849975585938
2020-03-25,481.919677734375,512.778550360912,428.9296884312166,429.17459327724464,73130298,420.090576171875,431.2674865722656,643.4279174804688
2020-03-26,474.772705078125,497.34913321338615,464.15244304869213,487.9534251497577,45744488,481.919677734375,408.6465148925781,630.71484375
2020-03-27,474.5055236816406,493.0742985498193,465.86682419167437,487.59718710077345,41657940,474.772705078125,453.2872314453125,619.8495483398438
2020-03-30,458.8534240722656,478.6022243792753,454.2001132600208,463.37318015277566,30229866,474.5055236816406,393.6623840332031,617.2891845703125
2020-03-31,495.94647216796875,503.0934193486525,466.668378147016,478.2237612689132,44292810,458.8534240722656,420.090576171875,591.6401977539062
2020-04-01,481.1181335449219,500.7778469800412,465.42151466703814,499.73140572151567,41597459,495.94647216796875,481.919677734375,586.0740356445312
2020-04-03,479.7822570800781,505.1640473665368,470.36428521360847,505.1640473665368,41367807,481.1181335449219,474.772705078125,597.9633178710938
2020-04-07,537.0693359375,540.5871191109118,489.8236031363708,490.7587239777516,54373624,479.7822570800781,474.5055236816406,596.5607299804688
2020-04-08,530.8574829101562,547.2666119015739,516.5412959187852,525.4471639311407,49880330,537.0693359375,458.8534240722656,583.8475341796875
2020-04-09,543.2366333007812,548.9586489969397,531.2359703282597,540.5871192951221,33032857,530.8574829101562,495.94647216796875,565.9688720703125
2020-04-13,529.5216064453125,541.0324597756588,525.4471322437827,536.111950755027,23673784,543.2366333007812,481.1181335449219,496.12457275390625
2020-04-15,512.0215454101562,550.3836477833194,508.97127785494433,533.0394274350746,35321842,529.5216064453125,479.7822570800781,513.6690673828125
2020-04-16,520.1259155273438,528.7646148704049,509.8619089009577,512.0215540116548,37455706,512.0215454101562,537.0693359375,473.3477478027344
2020-04-17,545.0401000976562,547.7119081332823,531.0801379395491,541.477788467049,33269335,520.1259155273438,530.8574829101562,492.1837158203125
2020-04-20,553.85693359375,559.7347681895708,535.2436321732976,545.9306852340615,36030932,545.0401000976562,543.2366333007812,452.2853698730469
2020-04-21,550.9847412109375,557.5082632503704,518.3224245172161,538.8059068072215,61371628,553.85693359375,529.5216064453125,448.8566589355469
2020-04-22,607.2031860351562,616.6879797457742,578.8825082607582,587.7883765401166,142683366,550.9847412109375,512.0215454101562,431.2674865722656
2020-04-23,610.4537963867188,617.1109625507321,602.6166045822772,608.8730174165447,65464502,607.2031860351562,520.1259155273438,408.6465148925781
2020-04-24,630.98193359375,665.6926093550011,599.9003914322975,601.2140016546114,134986308,610.4537963867188,545.0401000976562,453.2872314453125
2020-04-27,636.6594848632812,656.809040623181,633.6537450993618,638.5519612553153,58482901,630.98193359375,553.85693359375,393.6623840332031
